Taxon,GBIF_ID,GBIFOccurences,Padme_Field,Padme_Herb,PadmeTotal,iucn_status,Notes
Avicennia marina (Forssk.) Vierh.,2925403,1322,6,7,13,Status: Least Concern ver 3.1,
Ozoroa insignis Delile,7321499,470,1,0,1,NA,
Searsia natalensis (Bernh. ex Krauss) F.A.Barkley,5544278,254,0,6,6,NA,Will have some results for Rhus but not as many for Searsia
Cussonia holstii Harms ex Engl.,3035216,170,0,0,0,NA,
Aloe rivierei Lavranos & A.Newton,2778089,1,0,3,3,NA,
Cordia africana Lam.,5660325,297,2,1,3,NA,
Ehretia obtusifolia Hochst. ex DC.,4066252,138,1,14,15,NA,
Commiphora quadricincta Schweinf.,3993713,1,0,0,0,NA,
Cadaba heterotricha Stocks ex Hook.,8188508,18,0,16,16,NA,
Maytenus undata (Thunb.) Blakelock,3793292,728,0,1,1,NA,
Diospyros mespiliformis Hochst. ex DC.,4071204,2187,2,7,9,NA,
Euphorbia smithii S.Carter,3067647,11,0,20,20,Lower Risk/near threatened ver 2.3 (needs updating),
Acacia gerardii Benth.,2980376,115,0,0,0,NA,
Acacia nilotica (L.) Willd. ex Delile,2978421,231,2,14,16,NA,
Bauhinia ellenbeckii Harms,2953893,13,0,9,9,NA,
Prosopis cineraria (L.) Druce,5358521,14,8,6,14,NA,
Dombeya schimperianum A.Rich.,6712742,13,0,0,0,NA,
Grewia trichocarpa Hochst. ex A.Rich.,4259969,46,0,32,32,NA,
Bersama abyssinica Fresen.,3845259,442,0,2,2,NA,
Ficus palmata Forssk. ,5361916,184,18,16,34,NA,
Myrsine africana L.,7331120,1262,5,10,15,NA,
Berchemia discolor (Klotzsch) Hemsl.,3876514,224,0,1,1,NA,
Prunus arabica (Oliv.) Meikle,3022146,33,14,16,30,NA,
Oncoba spinosa Forssk.,3879362,352,0,1,1,NA,
Nuxia congesta R.Br. ex Fresen.,4055888,572,0,1,1,NA,
